                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     36,                  0.822,                0.39403,                0.78526,                0.86187,                 0.7088,                0.79937,                0.55421,                0.82524,                0.40077,                0.79917,             0.00081688,             0.00081688,             0.00081688
                     37,                0.82828,                0.39703,                0.78681,                0.91447,                0.69552,                0.80863,                0.53031,                0.92292,                0.42487,                0.80441,              0.0008045,              0.0008045,              0.0008045
                     38,                0.86197,                0.40932,                0.78677,                 0.9182,                0.71435,                0.80485,                0.55113,                0.81346,                 0.4055,                0.79458,             0.00079213,             0.00079213,             0.00079213
                     39,                0.86038,                0.40612,                0.78705,                0.82339,                0.72351,                0.80594,                0.55661,                0.87963,                0.42866,                0.80039,             0.00077975,             0.00077975,             0.00077975
                     40,                0.83564,                0.39771,                0.78574,                0.87673,                0.74566,                0.81085,                0.56454,                0.78168,                0.37987,                0.79481,             0.00076738,             0.00076738,             0.00076738
                     41,                 0.7997,                0.37939,                0.78381,                0.93147,                0.71155,                0.80087,                0.54009,                0.80318,                0.38271,                0.79358,               0.000755,               0.000755,               0.000755
                     42,                0.81129,                 0.3897,                0.78659,                0.83868,                0.72671,                0.79733,                0.53813,                0.80828,                0.39945,                0.79692,             0.00074263,             0.00074263,             0.00074263
                     43,                0.80299,                0.38359,                0.78207,                0.80715,                0.71683,                0.78677,                0.52929,                0.80603,                0.38389,                0.79537,             0.00073025,             0.00073025,             0.00073025
                     44,                0.79137,                0.37723,                0.78386,                 0.8304,                0.74856,                0.79442,                0.54928,                0.79211,                0.38399,                0.79634,             0.00071788,             0.00071788,             0.00071788
                     45,                0.80477,                0.38595,                0.78241,                0.90021,                0.70382,                0.80584,                 0.5312,                0.82491,                 0.4099,                 0.7958,              0.0007055,              0.0007055,              0.0007055
                     46,                0.80703,                 0.3841,                0.78414,                0.81982,                 0.7209,                0.77025,                0.51278,                0.88058,                0.40465,                0.80084,             0.00069313,             0.00069313,             0.00069313
                     47,                0.79838,                0.37866,                0.78435,                0.88833,                0.73328,                0.79077,                0.53952,                0.82211,                0.38589,                0.79817,             0.00068075,             0.00068075,             0.00068075
                     48,                0.78136,                0.37138,                0.78285,                 0.8699,                0.72873,                0.79303,                0.55857,                 0.8018,                0.38912,                0.79501,             0.00066838,             0.00066838,             0.00066838
                     49,                0.77184,                0.36506,                0.78342,                 0.9063,                 0.7524,                0.81894,                0.57419,                0.79308,                0.37678,                0.79613,               0.000656,               0.000656,               0.000656
                     50,                0.76405,                0.36248,                 0.7817,                0.88953,                0.73646,                0.82081,                0.56519,                0.80885,                0.38292,                0.79559,             0.00064362,             0.00064362,             0.00064362
                     51,                0.78224,                0.36787,                0.78282,                0.86836,                0.75808,                0.82396,                0.56662,                0.80709,                0.37255,                0.79502,             0.00063125,             0.00063125,             0.00063125
                     52,                0.77387,                0.36535,                0.78315,                0.95113,                0.75718,                0.82887,                0.57632,                0.81767,                0.36754,                0.79873,             0.00061887,             0.00061887,             0.00061887
                     53,                0.75835,                0.35903,                0.78127,                0.84044,                0.74216,                0.79608,                0.54748,                0.81782,                 0.3916,                0.79559,              0.0006065,              0.0006065,              0.0006065
                     54,                0.77094,                0.36909,                0.78129,                0.81471,                0.75665,                0.79945,                0.56062,                0.78909,                0.36478,                0.79569,             0.00059413,             0.00059413,             0.00059413
                     55,                0.76119,                0.36539,                0.78071,                0.84924,                0.74587,                0.81666,                0.54651,                0.81979,                0.38176,                0.79797,             0.00058175,             0.00058175,             0.00058175
                     56,                0.75495,                0.36173,                0.78273,                0.84985,                 0.6908,                0.77791,                0.53501,                0.80322,                0.38463,                 0.7961,             0.00056938,             0.00056938,             0.00056938
                     57,                0.75899,                0.35793,                0.77933,                0.83226,                 0.7446,                0.78972,                 0.5428,                0.80346,                0.37459,                0.79503,               0.000557,               0.000557,               0.000557
                     58,                0.74197,                0.35338,                 0.7799,                  0.819,                0.72892,                0.77219,                0.54549,                0.80047,                0.37909,                0.79607,             0.00054463,             0.00054463,             0.00054463
                     59,                0.74778,                0.35384,                0.78047,                0.83766,                0.67382,                0.74936,                0.50343,                0.85086,                0.41828,                0.79699,             0.00053225,             0.00053225,             0.00053225
                     60,                0.76105,                0.35302,                0.77988,                0.86917,                0.72726,                0.80651,                0.56198,                0.78279,                 0.3674,                0.79613,             0.00051988,             0.00051988,             0.00051988
                     61,                0.73778,                0.34519,                0.77687,                 0.8947,                0.73326,                0.81006,                0.54856,                0.80478,                0.36795,                0.79742,              0.0005075,              0.0005075,              0.0005075
                     62,                0.73781,                0.34287,                0.77974,                0.93105,                0.75734,                0.82375,                0.56524,                0.79147,                 0.3606,                0.79471,             0.00049513,             0.00049513,             0.00049513
                     63,                0.71525,                0.33843,                0.77883,                0.80054,                0.76117,                0.81434,                 0.5437,                0.78605,                0.36892,                 0.7948,             0.00048275,             0.00048275,             0.00048275
                     64,                0.72947,                 0.3435,                0.77852,                0.84662,                0.74016,                0.80946,                0.56627,                0.78176,                0.37722,                0.79473,             0.00047038,             0.00047038,             0.00047038
                     65,                0.76412,                0.35187,                0.78103,                 0.8791,                0.74532,                0.82428,                0.56637,                0.79054,                0.36719,                0.79418,               0.000458,               0.000458,               0.000458
                     66,                0.72602,                0.33453,                0.77835,                0.85703,                0.76382,                 0.8265,                0.58214,                0.77983,                0.35713,                 0.7957,             0.00044563,             0.00044563,             0.00044563
                     67,                0.69218,                0.32559,                   0.78,                0.88556,                0.75947,                0.82141,                  0.577,                0.78123,                0.35755,                0.79442,             0.00043325,             0.00043325,             0.00043325
                     68,                0.69777,                0.32834,                0.77772,                0.91054,                0.74511,                0.81462,                0.56671,                0.79806,                0.36686,                0.79502,             0.00042087,             0.00042087,             0.00042087
                     69,                0.69702,                0.33113,                0.77839,                0.91856,                0.69758,                0.80072,                0.56581,                0.78095,                 0.3684,                 0.7935,              0.0004085,              0.0004085,              0.0004085
                     70,                0.75614,                0.35391,                0.78081,                 0.9404,                 0.7405,                0.82979,                0.56456,                0.81659,                0.37748,                0.79594,             0.00039613,             0.00039613,             0.00039613
                     71,                0.72108,                0.34034,                0.77723,                0.94515,                0.74778,                0.85755,                0.58038,                0.79373,                0.36788,                0.79491,             0.00038375,             0.00038375,             0.00038375
                     72,                0.71681,                0.33973,                0.77697,                0.88551,                0.73714,                0.81031,                0.56339,                 0.8079,                0.37471,                 0.7945,             0.00037138,             0.00037138,             0.00037138
                     73,                0.69076,                 0.3253,                 0.7772,                0.88055,                0.73842,                 0.8152,                0.57006,                0.76865,                 0.3574,                0.79352,               0.000359,               0.000359,               0.000359
