                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.65761,                0.31243,                0.77632,                0.84612,                0.74838,                0.81423,                0.56951,                  0.801,                0.37721,                0.79449,             0.00040598,             0.00040598,             0.00040598
                      2,                0.71402,                0.34695,                0.77684,                0.85885,                0.69724,                0.79364,                0.53264,                0.82224,                0.42344,                0.79677,             0.00081858,             0.00081858,             0.00081858
                      3,                0.75205,                0.36933,                0.77984,                0.84372,                  0.675,                0.73869,                0.48827,                0.95316,                0.53477,                 0.8194,               0.001227,               0.001227,               0.001227
                      4,                0.86499,                 0.4235,                0.78445,                0.90372,                0.72732,                0.78809,                0.52543,                0.90169,                0.46298,                0.79769,              0.0012314,              0.0012314,              0.0012314
                      5,                0.79484,                0.40968,                0.78261,                0.88358,                0.62177,                0.71295,                0.44437,                0.95096,                0.56393,                0.80456,              0.0012252,              0.0012252,              0.0012252
                      6,                0.79353,                0.39729,                0.78275,                0.93233,                0.73456,                0.82321,                0.52125,                0.87157,                0.44231,                0.80041,              0.0012191,              0.0012191,              0.0012191
                      7,                0.78515,                0.38742,                0.77985,                0.75296,                0.68433,                0.72231,                0.49118,                0.87838,                0.43826,                0.79999,              0.0012129,              0.0012129,              0.0012129
                      8,                0.76584,                0.37373,                0.78143,                0.86181,                0.71953,                0.78362,                0.53806,                0.84156,                 0.4087,                 0.7976,              0.0012067,              0.0012067,              0.0012067
                      9,                0.75077,                0.36448,                0.78072,                0.82456,                0.73523,                0.79446,                0.52829,                0.86652,                0.40918,                0.79832,              0.0012005,              0.0012005,              0.0012005
                     10,                0.77024,                0.36702,                0.78145,                0.85342,                0.68647,                0.80194,                0.53052,                 0.9031,                0.44451,                0.80209,              0.0011943,              0.0011943,              0.0011943
                     11,                0.76721,                0.36996,                0.77953,                0.79957,                0.75502,                0.78677,                0.55093,                0.81394,                0.40148,                0.79925,              0.0011881,              0.0011881,              0.0011881
                     12,                0.75848,                0.36589,                0.78037,                0.91369,                0.74486,                0.80268,                0.55525,                0.83076,                0.39578,                0.79758,              0.0011819,              0.0011819,              0.0011819
                     13,                0.78878,                0.37869,                0.78126,                0.80325,                0.66247,                0.78432,                0.51015,                0.89494,                0.46663,                0.80344,              0.0011757,              0.0011757,              0.0011757
                     14,                0.78273,                0.38601,                0.78268,                0.86398,                0.62129,                0.70712,                0.45046,                0.89301,                0.51412,                0.80026,              0.0011696,              0.0011696,              0.0011696
                     15,                0.79756,                0.38285,                0.78168,                0.87222,                0.66805,                0.76396,                0.51079,                0.86755,                0.42387,                0.79808,              0.0011634,              0.0011634,              0.0011634
                     16,                 0.7714,                0.37082,                0.78277,                  0.805,                0.71956,                0.77349,                0.51249,                0.87463,                0.41861,                0.80144,              0.0011572,              0.0011572,              0.0011572
                     17,                 0.8085,                0.38335,                0.78139,                0.84431,                0.69857,                0.77032,                0.52018,                 0.8252,                0.41165,                 0.7967,               0.001151,               0.001151,               0.001151
                     18,                0.77371,                0.36739,                0.77924,                0.91499,                0.63129,                0.77756,                0.51134,                0.84801,                0.39809,                0.79936,              0.0011448,              0.0011448,              0.0011448
                     19,                0.73923,                0.35747,                0.78251,                0.82768,                0.62835,                0.71695,                 0.4865,                0.84035,                0.41876,                0.79938,              0.0011386,              0.0011386,              0.0011386
                     20,                0.78245,                0.37276,                0.78191,                 0.9127,                0.71468,                0.79559,                 0.5106,                0.84774,                0.40945,                0.79797,              0.0011324,              0.0011324,              0.0011324
                     21,                0.75828,                0.36442,                0.78154,                0.93309,                0.70984,                0.80288,                0.55202,                0.82939,                0.40321,                 0.7963,              0.0011263,              0.0011263,              0.0011263
                     22,                0.80533,                 0.3827,                0.78279,                0.83125,                0.67439,                0.76022,                0.51057,                0.86195,                0.41314,                0.79999,              0.0011201,              0.0011201,              0.0011201
                     23,                0.75572,                0.36439,                0.78073,                0.87365,                0.72493,                0.80303,                0.52883,                0.85036,                0.41773,                0.79779,              0.0011139,              0.0011139,              0.0011139
                     24,                0.76758,                0.36435,                0.77968,                 0.8349,                0.72627,                0.80381,                0.53261,                0.86444,                 0.4214,                0.80236,              0.0011077,              0.0011077,              0.0011077
                     25,                0.74262,                 0.3539,                0.78045,                0.95181,                0.72489,                0.82813,                0.56823,                0.81617,                0.38693,                 0.7955,              0.0011015,              0.0011015,              0.0011015
                     26,                0.75149,                0.36021,                0.78206,                0.77491,                0.71357,                0.76638,                0.51773,                0.86194,                0.43024,                0.79866,              0.0010953,              0.0010953,              0.0010953
                     27,                0.77835,                 0.3786,                0.78089,                0.89438,                0.69511,                0.79073,                0.54466,                0.85443,                0.40875,                0.79806,              0.0010891,              0.0010891,              0.0010891
                     28,                0.74659,                0.36252,                0.78149,                0.88885,                0.70112,                0.78548,                0.52498,                0.84485,                0.39569,                0.79665,              0.0010829,              0.0010829,              0.0010829
                     29,                0.73355,                0.35108,                0.77914,                0.91401,                0.70413,                0.78829,                0.55432,                0.82437,                0.37862,                0.79788,              0.0010768,              0.0010768,              0.0010768
                     30,                0.77017,                0.36618,                0.78133,                0.80352,                 0.7069,                 0.7587,                0.52563,                 0.8811,                0.40205,                0.79901,              0.0010706,              0.0010706,              0.0010706
                     31,                0.74358,                0.35795,                0.77845,                0.89759,                0.70425,                0.79332,                0.54236,                0.84989,                0.39886,                0.79915,              0.0010644,              0.0010644,              0.0010644
                     32,                0.71836,                0.34774,                0.77786,                 0.9247,                0.74287,                 0.8139,                0.54179,                 0.8176,                0.38241,                0.79714,              0.0010582,              0.0010582,              0.0010582
                     33,                0.71905,                0.34641,                0.77892,                0.87763,                0.73238,                0.80343,                 0.5476,                0.85024,                0.40188,                0.79783,               0.001052,               0.001052,               0.001052
                     34,                0.69505,                0.33682,                0.77985,                0.90509,                0.74552,                0.82289,                0.54848,                0.82731,                0.39055,                0.79682,              0.0010458,              0.0010458,              0.0010458
